Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer Science_Artificial_Intelligence;Computer Science_Information_Systems;Computer Science_Interdisciplinary_Applications;Computer Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Adjusted_savings_education_expenditure_(current_US$);Age_dependency_ratio_(%_of_working_age_population);Age_dependency_ratio_old_(%_of_working_age_population);Age_dependency_ratio_young_(%_of_working_age_population);Agricultural_machinery_tractors_per_100_sq_km_of_arable_land;Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_inflows_(BoP_current_US$);Foreign_direct_investment_net_outflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(BoP_current_US$);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_by_the_reporting_economy_(current_US$);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_by_the_reporting_economy_(current_US$);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
1980;Australia;37;0;15;3;0;2;0;1;7;16;17;2;17;20;17;90;33;59;61;193;1,21E+11;5;7400000000;53,67;14,79;38,88;;16,44;0,53;73,2;32,51;1,25;1866223965;1,25;1866223965;4,39E+11;29907,79;17,24;1,33E+11;9051,39;27,12;26,44;100,33;15,91;10,02;12;22055600000;71,12;22400110000;87,76;29,61;14692000;1;6;6;92,31;6;32,34;85,55;1;0
1981;Australia;73;2;6;5;0;3;0;0;2;16;23;0;23;27;23;101;35;73;75;220;1,45E+11;5;8800000000;52,81;14,95;37,86;;14,91;-1,83;73,89;34,31;1,33;2346546543;1,33;2346546543;4,54E+11;30419,53;17,84;1,52E+11;10156,29;28,72;28,44;102,61;16,74;9,53;12;21817990000;73,27;26175660000;89,74;27;14927000;1;6;6;100,26;6;31,65;85,7;0;0
1982;Australia;29;3;18;9;0;0;1;4;2;7;17;2;17;24;20;92;30;78;62;215;1,56E+11;5;9500000000;52,31;15,07;37,24;;13,54;-3,29;73,88;35,76;1,18;2286321730;1,18;2286321730;4,69E+11;30912,22;17,76;1,72E+11;11347,87;29,88;28,99;103,76;16,83;11,71;12;22092270000;71,83;26519870000;89,04;24,79;15178000;1;6;6;100,65;6;30,37;85,67;0;0
1983;Australia;48;1;7;2;0;1;0;0;0;6;14;5;19;33;18;118;29;111;63;219;1,44E+11;5;8800000000;52;15,18;36,82;;13,59;-2,03;77,8;36,8;1,69;2990964045;1,69;2990964045;4,59E+11;29850,19;18,68;1,88E+11;12211,72;25,34;26,59;103,13;15,62;10,16;12;20665750000;75,1;21383070000;90,54;23,48;15369000;1;6;6;98,6;6;29,21;85,64;0;0
1984;Australia;24;5;11;6;0;0;0;0;3;5;19;8;18;29;25;130;32;100;66;220;1,57E+11;5,1;9741000000;51,66;15,31;36,35;;13,58;-1,43;75,2;37,93;0,22;428250491;0,22;428250491;4,8E+11;30866,25;18,34;2,11E+11;13560,09;26,67;26,07;101,87;15,01;7,86;12;23892380000;74,47;25784310000;89,94;25,37;15544000;1;6;6;101,72;6;28,58;85,61;0;0
1985;Australia;31;1;2;7;0;0;0;0;1;14;33;2;21;54;33;108;35;116;61;283;1,44E+11;5;8900000000;51,2;15,48;35,72;;15,26;-2,05;74,18;39,5;1,16;2098624894;1,16;2098624894;5,05E+11;32045,32;18,92;2,32E+11;14701,17;28,07;27,08;102,25;17,31;4,63;12;22625810000;74,43;25865420000;91,12;26,91;15758000;1;6;6;85,61;6;32,56;85,58;5;0
1986;Australia;37;6;8;8;0;1;0;0;1;6;43;1;23;44;45;110;35;156;58;254;1,45E+11;4,9;8771000000;51,02;15,67;35,35;;15,01;-3,07;75,38;40,84;2,95;5369760089;2,95;5369760089;5,25E+11;32797,09;19;2,56E+11;15956,28;28,55;28,21;103,92;18,08;6,46;12;22552590000;74,21;26237200000;90,98;26,74;16018400;1;6;6;74,88;6;33,09;85,55;4;0
1987;Australia;26;0;12;9;0;0;0;0;1;9;29;5;17;32;28;130;26;109;75;314;1,51E+11;4,7;8742000000;50,61;15,88;34,73;;15,49;-1,6;75,79;42,12;2,75;5190522203;2,75;5190522203;5,39E+11;33126,79;18,95;2,8E+11;17245,56;27,42;28;103,2;17,09;7,05;12;26550380000;77,58;29717810000;89,07;29,59;16263900;1;6;6;74,73;6;32,59;85,52;2;0
1988;Australia;50;4;10;5;0;0;0;0;0;9;36;6;22;61;39;105;37;117;56;341;1,89E+11;4,6;10626000000;50,11;16,1;34,01;;15,99;-0,66;73,45;43,1;3,6;8476377245;3,6;8476377245;5,7E+11;34460,04;18,06;3,18E+11;19223,27;28,03;27,82;101,48;16,65;7,21;12;32764430000;78,81;36670980000;89,51;29,42;16532200;1;6;6;82,67;6;32,63;85,49;3;0
1989;Australia;42;0;6;0;1;1;0;0;7;0;41;13;26;57;34;128;33;173;60;378;2,38E+11;4,5;13095000000;49,74;16,32;33,42;;15,15;-1,83;71,88;44,39;2,68;8023170407;1,01;3024469775;5,92E+11;35191,11;17,39;3,57E+11;21254,76;29,67;28,76;101,55;16,98;9,25;12;37208062255;76,44;45035003457;88,99;27,42;16814400;1;6;6;88,71;6;32,13;85,46;8;1
1990;Australia;32;6;23;5;0;0;0;0;3;10;30;11;44;99;76;193;49;168;80;366;2,41E+11;4,4;13200000000;49,58;16,54;33,04;;15,15;-1,93;72,4;45,91;2,72;8457776860;0,2;633078140;6,13E+11;35912,21;17,24;3,9E+11;22829,4;29;27,72;101,41;17,07;6,1;12;38982471524;77,35;43051390317;88,79;26,3;17065100;1;6;6;86,52;6;32,22;85,43;6;1
1991;Australia;19;0;8;1;0;0;0;0;0;8;39;26;24;76;67;230;30;192;82;399;2,53E+11;4,4;13728000000;49,57;16,84;32,73;;16,06;-0,13;75,39;46,81;0,8;2612066526;-0,36;-1172055089;6,1E+11;35316,54;18,2;3,98E+11;23004,86;24,27;24,62;99,66;16,19;3,04;12;41910053818;78,7;42630287852;86,08;25,67;17284000;1;6;6;85,14;6;32,26;85,4;23;1
1992;Australia;17;0;19;2;0;0;2;0;2;3;49;42;53;95;76;232;48;217;72;367;2,52E+11;4,5;14040000000;49,74;17,12;32,62;;16,69;0,27;77,98;47,45;1,52;4941906672;1,18;3835344660;6,13E+11;35034,53;19,04;4,06E+11;23200,74;22,39;22,88;100,37;16,42;1,5;12;42491776048;77,5;44815930984;84,14;26,67;17495000;1;6;6;76,92;6;33,11;85,29;25;0
1993;Australia;6;2;8;2;0;0;0;1;0;5;41;42;76;97;78;249;64;206;135;367;2,46E+11;5,2;15756000000;50,01;17,39;32,62;;17,57;-0,32;77,17;48,51;1,71;5312435142;0,82;2545789066;6,38E+11;36091,39;18,93;4,31E+11;24412,12;23,65;23,53;100,81;17,89;0,89;12;42565011599;75,58;46720892761;83,6;28,34;17667000;1;6;6;71,61;6;35,47;85,16;27;0
1994;Australia;112;5;41;7;1;12;37;3;11;42;72;68;143;127;141;336;69;296;119;398;2,57E+11;5,2;16380000000;50,19;17,62;32,57;;18,01;-0,52;76,05;49,72;1,38;4458484244;0,57;1827817069;6,63E+11;37133,65;18,37;4,55E+11;25494,82;24,32;24,01;100,37;18,52;1,02;12;47484361388;73,9;55089829894;83,95;31,33;17855000;1;6;6;75,19;6;36,53;85,03;43;1
1995;Australia;93;7;36;14;1;4;19;0;18;37;97;81;83;158;125;426;83;284;153;478;2,9E+11;4,89;17344724795;50,21;17,81;32,4;;17,92;-1,97;75,92;49,46;3,61;13268875155;1,1;4045649269;6,88E+11;38095,13;18,02;4,77E+11;26421,59;26,05;25,16;101,97;19,88;2,26;12;53014000357;73,98;63229777374;83,37;31,15;18072000;1;7;5;73,5;6;37,8;84,9;61;0
1996;Australia;76;6;32;10;0;13;14;0;19;43;116;103;115;139;165;418;107;332;116;600;3,17E+11;5,2;20072000000;50,25;17,98;32,27;;18,94;-0,45;75,6;50,41;1,14;4563952446;1,25;5006395610;7,15E+11;39056,18;17,96;5,09E+11;27792,31;24,85;24,21;100,45;19,39;2,7;12;60309927903;70,67;67716448639;82,06;31,41;18311000;1;7;5;80,38;6;38,33;84,77;75;0
1997;Australia;93;0;120;38;1;14;40;0;25;189;104;180;129;198;187;479;91;348;148;571;3,44E+11;4,87;20443479000;50,15;18,11;32,05;;19,17;0,27;74,81;50,85;1,86;8088068983;1,4;6082141450;7,44E+11;40153,61;17,62;5,37E+11;28979,05;24,92;24,1;99,73;18,9;1,23;12;63145770394;70,13;67974478981;80,35;29,64;18517000;1;7;5;79,97;6;38,07;84,64;112;1
1998;Australia;116;12;100;31;3;18;50;2;51;77;117;201;147;165;189;482;109;349;128;672;3,17E+11;4,75;18320872400;49,98;18,21;31,77;;19,6;-0,88;75,19;51,33;1,9;7597610928;1,17;4666647575;7,78E+11;41555,94;17,61;5,7E+11;30438,41;25,69;25,21;100,88;20,47;1,27;12;56006131640;73,67;66851563414;79,41;30,21;18711000;1;7;5;73,25;6;40,07;84,5;108;1
1999;Australia;193;10;149;53;2;66;49;5;58;139;154;198;153;162;207;540;100;450;131;718;3,09E+11;4,79;18003519200;49,82;18,32;31,5;;18,34;-2,45;76,23;51,95;0,57;2210917992;0,08;311364928;8,17E+11;43168,29;18,01;6,01E+11;31742,05;26,21;25,44;102,45;20,79;0,36;12;56244205813;72,98;71931851213;77,83;32,23;18926000;1;7;5;73,51;6;39,13;84,37;89;0
2000;Australia;258;7;234;39;7;137;59;9;133;140;109;182;147;158;217;429;124;431;150;678;3,26E+11;4,83;19464900000;49,71;18,45;31,26;;19,43;-2,16;75,85;52,92;3,59;14892978180;0,99;4095019475;8,49E+11;44334,39;17,79;6,42E+11;33523,05;26,31;26;102,16;21,59;2,58;12;63520815435;72,58;71574287690;75,29;32,61;19153000;1;7;5;70,45;6;41,03;84,24;90;6
2001;Australia;276;4;232;54;6;109;34;10;123;46;121;138;181;185;206;429;104;543;146;689;3E+11;4,84;17825920000;49,41;18,55;30,86;;22,23;0,09;76,43;52,41;2,83;10717133151;3,54;13380829229;8,66E+11;44585,2;17,78;6,85E+11;35299,8;23,48;23,28;99,91;22,14;4,62;12;63411559217;72,32;64425658235;74,32;33,64;19413000;1;7;5;67,57;6;44,37;84,1;100;1
2002;Australia;180;9;178;50;3;101;37;9;58;103;122;250;155;149;266;449;122;464;161;653;3,14E+11;4,86;18654720000;49,15;18,67;30,48;;20,77;-0,01;75,51;53,6;3,71;14656321801;1,77;6974350066;9E+11;45806,69;17,54;7,34E+11;37338,31;24,49;24,37;100,01;20,78;2,86;12;65222183412;72,12;73731415359;72,98;34,9;19651400;1;7;5;70,86;6;41,56;84,22;100;1
2003;Australia;104;3;119;23;4;65;33;6;48;20;96;340;259;267;489;506;95;537;126;740;3,72E+11;4,87;22070160000;48,91;18,8;30,11;;19,1;-2,11;76,09;53,3;1,93;8985246030;3,99;18597832803;9,27E+11;46595,9;17,6;7,78E+11;39123,67;26,02;26,12;102,11;21,2;3,11;12;70905108595;71,31;89818867667;71,19;34,18;19895400;1;7;5;79,37;6;40,3;84,34;110;2
2004;Australia;11;2;90;16;0;19;8;0;17;19;134;501;371;243;583;449;98;596;143;804;4,85E+11;4,89;29022840000;48,71;18,95;29,76;;17,2;-2,71;75,54;52,16;7,01;42907672820;1,6;9785047534;9,65E+11;47926,75;17,5;8,36E+11;41558,37;27,17;26,72;102,71;19,92;3,31;12;86165317154;67,88;1,1E+11;70,42;31,99;20127400;1;7;5;85,42;6;37,12;84,46;124;1
2005;Australia;28;1;81;10;1;38;35;1;26;30;133;572;520;234;631;562;114;680;150;834;5,36E+11;4,9;32683000000;48,56;19,12;29,44;;18,27;-2,74;75,18;50,15;-3,62;-25093141435;-4,72;-32713394187;9,96E+11;48813,89;17,56;8,88E+11;43545,56;27,56;27,1;102,74;21,01;3,8;12;1,05E+11;65,91;1,26E+11;68,48;33,37;20394800;1;7;5;87,97;6;39,27;84,58;124;1
2006;Australia;21;2;82;21;2;122;38;0;25;34;127;497;366;291;565;610;130;737;162;910;5,7E+11;4,79;34296400000;48,19;19,16;29,03;;19,89;-1,82;74,21;48,43;4,1;30551100657;3,23;24082532470;1,02E+12;49443,23;17,48;9,58E+11;46266,43;27,6;27,88;101,82;21,71;5,09;12;1,22E+11;64,97;1,41E+11;66,12;35,21;20697900;1;7;5;87,24;6;41,6;84,7;122;1
2007;Australia;82;2;122;17;1;103;47;4;36;32;151;203;231;247;125;705;142;861;173;935;6,42E+11;4,66;37932400000;47,89;19,2;28,69;;20,2;-1,64;74,07;46,66;5,21;44440090038;1,69;14420781948;1,06E+12;51024,24;17,34;1,04E+12;49843,81;27,57;27,46;101,64;21,85;5,01;12;1,41E+11;63,93;1,67E+11;65,06;35,95;20827600;1;7;5;92,34;6;42,05;84,82;110;1
2008;Australia;31;0;115;30;1;105;47;0;16;37;170;217;232;249;169;718;155;861;185;1011;7,94E+11;4,6;46460000000;47,75;19,29;28,45;;20,16;-2,55;73,88;43,92;4,28;45160024271;3,03;31887673441;1,1E+12;51841,27;17,24;1,13E+12;53139,88;28,66;28,27;102,55;22,71;4,53;12;1,86E+11;63,98;2,02E+11;63,69;36,77;21249200;1;7;5;90,38;6;42,87;84,94;109;2
2009;Australia;15;3;92;47;2;113;53;0;17;36;206;272;270;306;176;846;169;1024;190;1114;7,15E+11;4,8;42912000000;47,77;19,48;28,29;;23;0,21;72,39;49,23;3,09;28683266148;1,24;11463844142;1,12E+12;51767,38;17,59;1,22E+12;56056;27,4;27,63;99,79;22,79;5;12;1,54E+11;56,38;1,69E+11;58,89;34,47;21691700;1;7;5;87,6;6;45,8;85,06;161;0
2010;Australia;17;3;90;21;0;101;21;0;19;23;206;240;268;285;169;855;155;1154;234;1203;8,81E+11;5,08;55880000000;47,95;19,79;28,16;;19,81;-1,03;74,18;47,96;3,07;35210733743;1,58;18068580538;1,15E+12;52022,13;18;1,25E+12;56766,35;26,85;27,09;101,03;20,84;1,17;12;2,12E+11;53,96;2,05E+11;57,3;36,15;22031750;1;7;5;100;6;40,65;85,18;140;0
2011;Australia;91;1;172;43;0;200;39;8;60;74;234;341;315;384;243;955;190;1368;247;1149;1,07E+12;4,85;64990000000;48,51;20,24;28,27;;21,44;0,97;72,53;46,91;4,69;65554890650;0,59;8250639449;1,17E+12;52567,78;17,81;1,36E+12;60866,45;26,51;26,06;99,03;20,47;6,25;12;2,71E+11;52,79;2,49E+11;58,16;36,91;22340024;1;7;5;106,97;6;41,91;85,3;152;0
2012;Australia;34;3;93;25;0;170;32;4;22;42;255;383;350;377;274;1166;212;1446;225;1179;1,2E+12;5,05;75750000000;49,07;20,77;28,3;;21,48;-0,25;72,51;45,72;3,72;57550426823;0,37;5763649125;1,22E+12;53682,05;17,99;1,45E+12;63952,15;27,74;27,43;100,25;21,73;1,86;12;2,58E+11;51,77;2,66E+11;57,83;33,48;22733465;1;7;5;109,02;6;43,21;85,4;171;0
2013;Australia;14;3;80;25;1;121;40;0;12;37;305;449;451;477;348;1248;227;1846;312;1452;1,22E+12;4,95;75658866496;49,64;21,33;28,31;;19,96;-1,3;73,4;44,51;3,43;53997299140;-0,05;-769705628;1,25E+12;54129,94;17,84;1,5E+12;64773,68;27,9;27,86;101,3;21,25;-0,12;12;2,54E+11;46,27;2,47E+11;56,32;31,41;23128129;1;7;5;103,45;6;41,21;85,5;219;2
2014;Australia;20;12;87;15;1;155;35;0;16;19;367;502;510;524;344;1451;285;1931;294;1507;1,13E+12;4,84;69212685084;50,26;21,89;28,37;;21,04;-0,43;73,68;38,95;4,31;63195482812;1,54;22565879021;1,28E+12;54679,42;17,7;1,56E+12;66311,16;26,75;26,88;100,43;21,47;1,48;12;2,41E+11;47,72;2,41E+11;54,87;32,5;23475686;1;7;5;98,32;6;42,51;85,6;272;1
2015;Australia;8;2;86;16;0;171;29;0;13;53;393;638;684;586;420;1631;330;2346;361;1564;1,05E+12;5,03;66339160430;50,93;22,42;28,51;;19,98;-1,52;75,25;35,52;3,47;46892808568;0,61;8258809107;1,31E+12;55079,89;18,06;1,59E+12;66820,3;26,27;26,2;101,52;21,51;-0,55;12;1,88E+11;48,1;2,13E+11;54,15;29,34;23815995;1;7;5;89,84;6;41,49;85,7;332;4
2016;Australia;17;4;84;11;3;173;21;0;16;25;428;674;723;565;446;1684;362;2585;350;1716;9,35E+11;5,03;59303188869;51,73;22,97;28,76;;19,25;-2,28;76,9;34,95;3,56;42980709072;-0,25;-3025062318;1,35E+12;55728,68;18,66;1,62E+12;67025,97;25,37;25,3;102,28;21,53;-0,53;12;1,91E+11;48,5;2,01E+11;54,19;32,15;24190907;1;7;5;90,9;6;40,78;85,8;309;2
2017;Australia;21;0;38;8;4;172;10;3;12;22;563;731;848;600;507;1958;405;2720;412;1684;1,02E+12;5,03;64831452239;52,6;23,51;29,09;;21,19;0,62;75,31;34,41;3,57;47541126472;0,63;8333061212;1,38E+12;56095,19;18,6;1,72E+12;69737,78;24,07;23,96;99,38;20,58;3,74;12;2,29E+11;46,59;2,28E+11;51,57;34,57;24601860;1;7;5;93,68;6;41,77;85,9;369;9
1980;Austria;40;11;4;0;0;0;0;1;6;1;1;0;12;4;13;32;10;14;14;21;69329472982;4,3;3532329694;55,56;23,64;31,92;2083,98;31,69;-3,44;73,99;28,79;0,29;239300000;0,29;239300000;2,08E+11;27595,84;17,53;77234799500;10230,54;28,78;27,3;102,77;35,13;5,58;10;17482200000;77,41;24433300000;81,28;51,1;7549433;3;4;6;97,82;8;66,83;65,39;0;0
1981;Austria;26;2;1;5;0;0;0;0;2;8;0;0;7;11;10;35;8;12;16;34;59590762990;4,8;3405770567;53,95;23,2;30,75;2080,7;33;-2,4;75,42;30,55;0,46;327520000;0,46;327520000;2,08E+11;27485,83;17,96;82121642800;10850,15;26,93;27,21;102,35;35,4;6,72;10;15832300000;75,52;21029300000;80,47;51,92;7568710;3;4;6;94,63;8;68,4;65,36;0;0
1982;Austria;64;0;2;5;0;0;0;0;2;0;4;0;12;7;14;33;11;20;16;31;59864007926;4,9;3493625842;52,14;22,54;29,6;2124,17;31,74;-0,63;76;32,08;0,29;207920000;0,29;207920000;2,12E+11;28018,54;18,35;88388733800;11669,8;24,58;24,54;100,58;32,38;5,36;10;15633600000;75,66;19490100000;81,21;49,31;7574140;3;4;6;95,9;8;64,12;65,1;0;0
1983;Austria;45;2;10;2;0;0;0;0;4;2;4;0;17;5;18;49;7;10;23;38;60837803019;4,8;3470486973;50,32;21,8;28,52;2265,88;30,48;-1,52;77,22;33,51;0,3;216120000;0,3;216120000;2,19E+11;28898,22;18,35;94382785300;12481,34;23,04;23,68;100,26;31,99;3,47;10;15423300000;76,2;19402100000;82,4;48,32;7561910;3;4;6;95,91;8;62,47;64,84;0;0
1984;Austria;27;4;3;5;0;0;0;0;4;2;5;3;13;10;12;19;8;30;24;45;57291565976;4,8;3268307380;48,77;21,21;27,56;2256,47;32,75;-1,07;76,16;34,71;0,17;115240000;0,17;115240000;2,19E+11;28914,86;18,39;99009286700;13093,98;23,77;23,18;99,94;33,82;4,95;10;15738100000;76,8;19651100000;80,48;52,02;7561434;3;4;6;96,76;8;66,58;64,57;0;0
1985;Austria;56;3;5;2;0;0;0;0;0;1;3;1;11;10;26;24;16;38;12;40;58597281612;4,9;3405964418;47,61;20,87;26,75;2251,8;34,92;-0,24;76,27;35,84;0,24;169167935;0,24;169167935;2,24E+11;29623,43;18,58;1,05E+11;13815,55;24,45;23,81;100,72;35,16;2,96;10;17231000000;78,06;20967300000;80,65;55,09;7564985;3;4;6;96,42;8;70,08;64,31;1;0
1986;Austria;35;1;2;19;0;0;0;0;0;4;26;0;33;11;34;24;12;20;26;69;83441192455;5,1;5044715991;47,11;20,87;26,24;2265,88;32;-0,02;75,68;36,96;0,19;183400908;0,19;183400908;2,29E+11;30285,93;18,79;1,1E+11;14498,06;23,73;23,6;99,42;32,02;2,95;10;22473100000;81,52;26822900000;85,26;49,85;7569794;3;4;6;100,64;8;64,01;64,04;1;0
1987;Austria;52;1;0;4;0;2;0;0;2;1;11;1;5;4;19;21;18;24;22;50;1,04E+11;5;6200000000;46,79;21,07;25,72;2265,88;31,41;-0,04;75,54;38,05;0,32;395491398;0,32;395491398;2,32E+11;30677,54;18,75;1,14E+11;15045,93;24,06;24,17;99,59;31,45;2,44;10;27167500000;83,27;32720100000;86,82;48,23;7574586;3;4;6;103,37;8;62,85;63,77;0;0
1988;Austria;67;0;4;3;0;0;0;5;3;2;4;1;14;13;19;53;9;35;24;53;1,13E+11;4,8;6432000000;46,64;21,38;25,26;2410,45;33,07;-0,42;74,79;39,19;0,33;445427084;0,33;445427084;2,4E+11;31643,81;18,51;1,2E+11;15816,79;25,6;24,92;100,39;33,49;1,53;10;31034458764;83,19;36561594606;87,27;50,44;7585317;3;4;6;103,06;8;66,56;63,5;1;0
1989;Austria;59;2;1;2;0;0;0;0;2;11;10;3;12;9;32;44;9;52;23;61;1,13E+11;4,7;6298000000;46,63;21,68;24,95;2408,8;35,02;-0,51;74,13;40,37;0,44;581979789;0,44;581979789;2,49E+11;32726,06;18,19;1,28E+11;16859,65;26,47;25,17;100,6;35,52;2,96;10;32446519954;84,13;38901609327;86,65;53,26;7619567;3;4;6;101,81;8;70,54;63,23;3;0
1990;Austria;65;2;5;9;0;0;0;0;7;3;10;2;17;17;33;66;7;55;29;67;1,41E+11;4,6;7682000000;46,74;21,9;24,84;2373,65;35,7;-0,09;73,86;41,73;0,39;653000000;0,39;653000000;2,6E+11;33889;17,98;1,38E+11;17996,4;26,69;25,37;100,54;35,79;3;10;41389767170;84,74;49287236623;86,76;54,31;7677850;3;4;6;103,63;8;71,49;62,96;5;0
1991;Austria;28;2;7;3;0;0;0;0;2;0;7;10;15;16;41;56;10;52;30;82;1,47E+11;4,8;8352000000;47,13;22,19;24,94;2352,94;34,59;-0,87;73,55;43,02;0,21;360000000;0,21;360000000;2,69E+11;34707,07;18,16;1,47E+11;19001,37;26,9;26,44;100,44;35,46;3,64;10;41114658555;85,52;50826632762;86,89;52,89;7754891;3;4;6;101,58;8;70,05;62,69;7;0
1992;Austria;76;5;4;3;0;0;1;0;7;8;12;21;42;26;70;75;6;65;29;86;1,65E+11;4,7;9212000000;47,71;22,41;25,29;2374,65;33,16;-1,32;74,57;44,27;0,76;1485518380;0,76;1485518380;2,75E+11;35045,84;18,49;1,56E+11;19918,43;26,2;26,03;100,78;34,47;3,48;10;44405409957;85,36;54164480197;86,94;50,57;7840709;3;4;6;103,4;8;67,63;62,42;16;1
1993;Austria;73;9;7;14;0;0;0;0;6;8;10;20;27;20;47;64;14;68;59;90;1,6E+11;4,7;8977000000;48,36;22,57;25,79;2415,9;31,46;-0,34;75,32;45,36;0,59;1125106168;0,59;1125106168;2,76E+11;34941,14;19,3;1,61E+11;20412,51;25,25;25,52;100,57;31,8;2,76;10;39657647367;90,86;48029219935;90,28;47,17;7905633;3;4;6;106,12;8;63,27;62,14;19;0
1994;Austria;45;2;5;9;1;0;0;2;0;6;6;22;40;45;45;107;13;83;68;107;1,71E+11;4,99;10186456236;48,86;22,65;26,21;2424,46;32,16;-1,67;75,14;46,45;1,02;2075823025;1,02;2075823025;2,83E+11;35643,03;19,44;1,69E+11;21322,25;26,08;26,16;101,22;33,83;2,52;10;45026373051;90,04;55334119681;88,6;49,25;7936118;3;4;6;106,79;8;65,99;61,87;18;1
1995;Austria;63;4;9;9;0;2;0;0;9;5;8;41;30;41;68;86;13;81;88;125;2,02E+11;5,1;12240000000;49,05;22,64;26,41;2517,81;33,53;-1,19;74,53;47,52;0,76;1825089897;0,76;1825089897;2,9E+11;36537,99;19,59;1,76E+11;22134,28;26,76;25,3;101,29;34,72;1,81;10;57532316889;90,18;66263918970;89,82;51,43;7948278;3;4;6;110,86;8;68,26;61,6;20;0
1996;Austria;65;7;7;12;0;1;2;0;8;2;5;35;26;42;53;84;17;85;65;173;1,99E+11;4,9;11613000000;49,12;22,73;26,39;2517,73;34,25;-1,59;75,07;48,66;1,82;4323515257;1,82;4323515257;2,97E+11;37346,01;19,57;1,82E+11;22922,2;26,34;25,79;101,41;35,83;0,99;10;57823787100;89,46;67326395762;89,76;53,41;7959017;3;4;6;108,31;8;70,08;61,32;24;1
1997;Austria;59;7;11;3;0;0;0;0;8;1;7;54;36;40;92;85;16;97;71;171;1,78E+11;5,29;11219611976;48,84;22,74;26,1;2506,22;37,03;-0,81;74,36;49,41;1,25;2668974480;1,25;2668974480;3,03E+11;38084,7;19,6;1,88E+11;23575,47;26,21;25,42;100,58;37,84;1,27;10;58688271573;89,28;64180443484;89,07;58,99;7968041;3;4;6;103,65;8;74,87;61,05;26;0
1998;Austria;52;6;9;8;0;1;3;2;15;8;14;36;32;73;104;124;18;114;65;198;1,82E+11;5,67;12303561169;48,33;22,7;25,63;2450,14;38,35;-0,23;73,86;49,84;2,09;4571855469;2,09;4571855469;3,14E+11;39405,42;19,55;1,95E+11;24465,12;26,11;25,47;99,96;38,58;0,44;10;61425725057;91,81;66976317170;91,71;61,21;7976789;3;4;6;103,27;8;76,93;60,77;24;0
1999;Austria;88;9;17;9;0;4;2;8;14;2;16;42;22;62;128;104;15;138;54;191;1,79E+11;5,82;12454800000;47,84;22,67;25,17;2394,64;39,36;0,45;73,48;48,92;1,37;2974499988;1,37;2974499988;3,26E+11;40727,48;19,84;2,01E+11;25101,67;26,12;24,96;99,59;38,9;0,26;10;65954494923;92,25;71258348634;94,08;63,26;7992324;3;4;6;101,47;8;78,26;60,49;32;0
2000;Austria;70;7;21;9;0;9;3;0;21;6;9;64;54;57;114;139;25;111;79;200;1,63E+11;5,37;10470854320;47,53;22,7;24,83;2394,77;43,35;1,33;73,09;49,53;4,32;8501013451;4,32;8501013451;3,36E+11;42001,21;19,22;2,12E+11;26430,08;25,93;25,61;99,01;42,01;1,36;10;67473834943;91,89;72136838252;92,57;71,19;8011566;3;4;6;98,32;8;85,36;60,21;31;0
2001;Austria;81;8;29;5;1;7;2;0;12;3;15;77;66;73;131;130;18;156;79;231;1,62E+11;5,47;10666500000;47,33;22,87;24,46;2410,44;44,62;1,7;73,09;49,36;2,88;5689434546;2,88;5689434546;3,41E+11;42370,93;18,98;2,18E+11;27045,71;25,16;24,8;98,25;42,92;1,95;10;70744443051;90,71;74648864011;92,34;73,67;8042293;3;4;6;98,46;8;87,54;59,93;26;0
2002;Austria;86;7;20;8;0;10;6;3;27;7;18;118;80;48;162;155;25;138;81;224;1,76E+11;5,35;11342000000;47,27;23,05;24,23;2408,87;45,32;3,69;72,38;47,74;0,06;138346431;0,06;138346431;3,46E+11;42859,33;18,84;2,25E+11;27891,67;23,64;23,53;96,02;41,63;1,15;10;78674903066;90,33;78267265695;91,8;73,57;8081957;3;4;6;99,27;8;86,95;59,66;33;0
